Compound_Name,CAS_Number,OECD_442C_DPRA_Depletion_%,OECD_442C_Status,OECD_442D_ARE_Nrf2_Fold,OECD_442E_hCLAT_MFI,InVivo_LLNA_EC3_%
Compound_0001,CAS-100003-1,79.4,Positive (>6.38%),11.49,36.3,7.67
Compound_0002,CAS-100006-2,65.5,Positive (>6.38%),2.34,153.6,7.2
Compound_0003,CAS-100009-3,82.7,Positive (>6.38%),3.05,182.6,6.41
Compound_0004,CAS-100012-4,99.9,Positive (>6.38%),0.86,146.4,1.14
Compound_0005,CAS-100015-5,63.3,Positive (>6.38%),2.11,241.3,2.06
Compound_0006,CAS-100018-6,63.3,Positive (>6.38%),1.79,73.6,3.17
Compound_0007,CAS-100021-7,99.9,Positive (>6.38%),0.8,260.8,2.01
Compound_0008,CAS-100024-8,85.4,Positive (>6.38%),0.8,102.1,7.03
Compound_0009,CAS-100027-9,58.2,Positive (>6.38%),5.81,119.2,2.0
Compound_0010,CAS-100030-0,80.4,Positive (>6.38%),0.88,188.0,0.74
Compound_0011,CAS-100033-1,58.3,Positive (>6.38%),0.8,20.0,2.55
Compound_0012,CAS-100036-2,58.3,Positive (>6.38%),2.25,191.0,19.54
Compound_0013,CAS-100039-3,73.8,Positive (>6.38%),4.69,173.5,1.28
Compound_0014,CAS-100042-4,26.4,Positive (>6.38%),0.8,66.8,4.74
Compound_0015,CAS-100045-5,30.6,Positive (>6.38%),2.75,20.0,2.84
Compound_0016,CAS-100048-6,56.1,Positive (>6.38%),0.8,20.0,0.37
Compound_0017,CAS-100051-7,46.2,Positive (>6.38%),0.8,462.0,3.35
Compound_0018,CAS-100054-8,75.4,Positive (>6.38%),0.8,210.4,6.06
Compound_0019,CAS-100057-9,48.5,Positive (>6.38%),5.75,24.5,3.6
Compound_0020,CAS-100060-0,37.4,Positive (>6.38%),0.8,79.4,10.28
Compound_0021,CAS-100063-1,99.9,Positive (>6.38%),0.8,161.6,1.7
Compound_0022,CAS-100066-2,63.5,Positive (>6.38%),1.84,325.0,0.45
Compound_0023,CAS-100069-3,70.0,Positive (>6.38%),5.95,20.0,13.79
Compound_0024,CAS-100072-4,37.2,Negative,0.97,48.6,2.38
Compound_0025,CAS-100075-5,56.5,Positive (>6.38%),1.75,396.9,4.29
Compound_0026,CAS-100078-6,70.9,Positive (>6.38%),0.8,20.0,7.85
Compound_0027,CAS-100081-7,43.2,Positive (>6.38%),1.91,40.5,1.96
Compound_0028,CAS-100084-8,76.8,Positive (>6.38%),2.76,575.1,6.3
Compound_0029,CAS-100087-9,55.3,Positive (>6.38%),2.71,171.1,0.73
Compound_0030,CAS-100090-0,62.1,Positive (>6.38%),1.29,54.6,1.72
Compound_0031,CAS-100093-1,55.3,Positive (>6.38%),1.21,20.0,0.78
Compound_0032,CAS-100096-2,99.9,Positive (>6.38%),0.8,20.0,8.34
Compound_0033,CAS-100099-3,68.2,Positive (>6.38%),1.46,50.5,1.26
Compound_0034,CAS-100102-4,45.2,Positive (>6.38%),0.8,383.9,6.32
Compound_0035,CAS-100105-5,86.6,Positive (>6.38%),4.66,96.8,14.35
Compound_0036,CAS-100108-6,41.6,Positive (>6.38%),10.85,229.3,3.75
Compound_0037,CAS-100111-7,73.1,Positive (>6.38%),11.23,450.8,3.88
Compound_0038,CAS-100114-8,25.4,Positive (>6.38%),6.41,94.4,3.09
Compound_0039,CAS-100117-9,39.3,Positive (>6.38%),2.94,38.2,1.97
Compound_0040,CAS-100120-0,72.8,Positive (>6.38%),3.86,131.0,3.23
Compound_0041,CAS-100123-1,84.7,Positive (>6.38%),1.07,429.6,4.62
Compound_0042,CAS-100126-2,72.3,Positive (>6.38%),3.19,293.7,21.34
Compound_0043,CAS-100129-3,66.0,Positive (>6.38%),1.95,20.0,13.88
Compound_0044,CAS-100132-4,61.9,Positive (>6.38%),2.11,212.3,9.91
Compound_0045,CAS-100135-5,36.0,Positive (>6.38%),4.54,152.7,11.0
Compound_0046,CAS-100138-6,52.7,Positive (>6.38%),1.06,428.4,3.15
Compound_0047,CAS-100141-7,58.4,Positive (>6.38%),1.22,23.5,5.36
Compound_0048,CAS-100144-8,91.8,Positive (>6.38%),8.27,137.5,11.27
Compound_0049,CAS-100147-9,76.1,Positive (>6.38%),0.8,380.8,2.5
Compound_0050,CAS-100150-0,29.7,Positive (>6.38%),2.13,95.0,16.32
Compound_0051,CAS-100153-1,75.6,Positive (>6.38%),7.81,118.4,2.69
Compound_0052,CAS-100156-2,60.0,Positive (>6.38%),3.02,20.0,4.6
Compound_0053,CAS-100159-3,53.6,Positive (>6.38%),2.53,58.7,6.19
Compound_0054,CAS-100162-4,82.0,Positive (>6.38%),0.92,70.6,15.04
Compound_0055,CAS-100165-5,91.2,Positive (>6.38%),1.35,522.5,1.4
Compound_0056,CAS-100168-6,89.0,Positive (>6.38%),6.11,59.8,6.85
Compound_0057,CAS-100171-7,50.0,Positive (>6.38%),2.62,111.2,3.68
Compound_0058,CAS-100174-8,61.7,Positive (>6.38%),2.31,200.3,1.56
Compound_0059,CAS-100177-9,75.8,Positive (>6.38%),0.8,31.9,7.49
Compound_0060,CAS-100180-0,90.0,Positive (>6.38%),0.8,120.0,4.02
Compound_0061,CAS-100183-1,58.0,Positive (>6.38%),10.61,241.5,5.41
Compound_0062,CAS-100186-2,64.4,Positive (>6.38%),1.51,362.9,1.95
Compound_0063,CAS-100189-3,44.2,Positive (>6.38%),2.96,177.2,3.28
Compound_0064,CAS-100192-4,42.2,Positive (>6.38%),0.8,199.0,4.8
Compound_0065,CAS-100195-5,86.4,Positive (>6.38%),3.68,24.3,2.6
Compound_0066,CAS-100198-6,98.3,Positive (>6.38%),8.63,524.6,1.11
Compound_0067,CAS-100201-7,66.9,Positive (>6.38%),2.74,25.6,16.3
Compound_0068,CAS-100204-8,90.6,Positive (>6.38%),0.8,268.2,3.58
Compound_0069,CAS-100207-9,76.5,Positive (>6.38%),2.79,55.4,6.62
Compound_0070,CAS-100210-0,54.3,Positive (>6.38%),4.65,488.2,2.65
Compound_0071,CAS-100213-1,76.5,Positive (>6.38%),1.67,229.1,2.19
Compound_0072,CAS-100216-2,99.9,Positive (>6.38%),6.78,252.3,2.61
Compound_0073,CAS-100219-3,67.7,Positive (>6.38%),3.35,44.5,2.63
Compound_0074,CAS-100222-4,99.9,Positive (>6.38%),7.34,105.3,3.93
Compound_0075,CAS-100225-5,10.9,Positive (>6.38%),3.13,173.1,3.92
Compound_0076,CAS-100228-6,86.6,Positive (>6.38%),0.8,264.5,3.44
Compound_0077,CAS-100231-7,70.4,Positive (>6.38%),1.19,20.0,0.72
Compound_0078,CAS-100234-8,61.9,Positive (>6.38%),0.8,590.4,3.43
Compound_0079,CAS-100237-9,70.5,Positive (>6.38%),7.66,397.7,0.93
Compound_0080,CAS-100240-0,24.8,Positive (>6.38%),4.57,56.7,0.67
Compound_0081,CAS-100243-1,63.7,Positive (>6.38%),3.61,311.4,13.49
Compound_0082,CAS-100246-2,76.4,Positive (>6.38%),1.15,131.5,4.64
Compound_0083,CAS-100249-3,99.9,Positive (>6.38%),0.8,111.5,5.39
Compound_0084,CAS-100252-4,57.1,Positive (>6.38%),4.52,68.0,2.57
Compound_0085,CAS-100255-5,50.7,Positive (>6.38%),2.06,156.6,11.98
Compound_0086,CAS-100258-6,57.5,Positive (>6.38%),0.82,235.6,5.08
Compound_0087,CAS-100261-7,88.6,Positive (>6.38%),3.07,95.3,7.33
Compound_0088,CAS-100264-8,75.7,Positive (>6.38%),0.8,178.6,2.3
Compound_0089,CAS-100267-9,56.8,Positive (>6.38%),1.26,216.3,16.1
Compound_0090,CAS-100270-0,79.8,Positive (>6.38%),2.02,223.5,8.59
Compound_0091,CAS-100273-1,70.6,Positive (>6.38%),0.8,20.0,9.62
Compound_0092,CAS-100276-2,89.8,Positive (>6.38%),13.37,353.6,0.94
Compound_0093,CAS-100279-3,53.1,Positive (>6.38%),0.8,110.3,1.58
Compound_0094,CAS-100282-4,61.3,Positive (>6.38%),0.8,54.8,1.68
Compound_0095,CAS-100285-5,59.9,Positive (>6.38%),0.8,49.8,1.58
Compound_0096,CAS-100288-6,36.3,Positive (>6.38%),4.69,118.8,9.67
Compound_0097,CAS-100291-7,75.0,Positive (>6.38%),1.77,392.2,0.16
Compound_0098,CAS-100294-8,74.2,Positive (>6.38%),2.67,85.6,0.4
Compound_0099,CAS-100297-9,68.6,Positive (>6.38%),0.8,249.3,1.6
Compound_0100,CAS-100300-0,63.3,Positive (>6.38%),0.8,20.0,1.11
Compound_0101,CAS-100303-1,37.4,Positive (>6.38%),1.89,116.3,1.32
Compound_0102,CAS-100306-2,59.2,Positive (>6.38%),5.43,862.2,8.0
