Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0001 (CAS 200001-1),O=CC=CC1=CC=CC=C1,41.8,724.0,-7.12,5.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0002 (CAS 200002-2),O=CC=CC1=CC=CC=C1,90.8,48.2,-5.06,51.6,Non-Sensitizer
Benchmark_Compound_0003 (CAS 200003-3),O=CC=CC1=CC=CC=C1,72.2,518.5,-5.36,31.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0004 (CAS 200004-4),O=CC=CC1=CC=CC=C1,60.9,576.5,-3.92,74.1,Non-Sensitizer
Benchmark_Compound_0005 (CAS 200005-5),O=CC=CC1=CC=CC=C1,23.3,604.2,-3.52,7.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0006 (CAS 200006-6),O=CC=CC1=CC=CC=C1,23.3,874.5,-8.43,60.0,Non-Sensitizer
Benchmark_Compound_0007 (CAS 200007-7),O=CC=CC1=CC=CC=C1,14.9,805.1,-4.79,93.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0008 (CAS 200008-8),O=CC=CC1=CC=CC=C1,83.6,915.8,-8.21,21.4,Non-Sensitizer
Benchmark_Compound_0009 (CAS 200009-9),O=CC=CC1=CC=CC=C1,61.1,1149.7,-5.48,49.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0010 (CAS 200010-0),O=CC=CC1=CC=CC=C1,70.2,1221.3,-6.92,13.6,Non-Sensitizer
Benchmark_Compound_0011 (CAS 200011-1),O=CC=CC1=CC=CC=C1,11.7,1080.0,-6.81,63.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0012 (CAS 200012-2),O=CC=CC1=CC=CC=C1,92.4,1433.7,-6.56,56.7,Non-Sensitizer
Benchmark_Compound_0013 (CAS 200013-3),O=CC=CC1=CC=CC=C1,80.8,37.2,-5.08,43.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0014 (CAS 200014-4),O=CC=CC1=CC=CC=C1,28.0,301.7,-6.66,54.0,Non-Sensitizer
Benchmark_Compound_0015 (CAS 200015-5),O=CC=CC1=CC=CC=C1,25.5,21.3,-4.47,89.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0016 (CAS 200016-6),O=CC=CC1=CC=CC=C1,25.6,974.7,-6.28,23.5,Non-Sensitizer
Benchmark_Compound_0017 (CAS 200017-7),O=CC=CC1=CC=CC=C1,35.9,1348.1,-8.12,7.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0018 (CAS 200018-8),O=CC=CC1=CC=CC=C1,54.6,372.8,-4.19,86.0,Non-Sensitizer
Benchmark_Compound_0019 (CAS 200019-9),O=CC=CC1=CC=CC=C1,46.7,1391.3,-6.93,59.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0020 (CAS 200020-0),O=CC=CC1=CC=CC=C1,34.8,99.8,-6.12,88.7,Non-Sensitizer
Benchmark_Compound_0021 (CAS 200021-1),O=CC=CC1=CC=CC=C1,62.0,1402.3,-4.73,61.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0022 (CAS 200022-2),O=CC=CC1=CC=CC=C1,21.9,533.9,-6.67,81.2,Non-Sensitizer
Benchmark_Compound_0023 (CAS 200023-3),O=CC=CC1=CC=CC=C1,34.8,161.1,-8.19,45.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0024 (CAS 200024-4),O=CC=CC1=CC=CC=C1,41.1,733.9,-6.44,75.5,Non-Sensitizer
Benchmark_Compound_0025 (CAS 200025-5),O=CC=CC1=CC=CC=C1,48.8,392.6,-3.31,90.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0026 (CAS 200026-6),O=CC=CC1=CC=CC=C1,76.7,434.5,-4.97,58.8,Non-Sensitizer
Benchmark_Compound_0027 (CAS 200027-7),O=CC=CC1=CC=CC=C1,27.0,467.9,-4.81,22.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0028 (CAS 200028-8),O=CC=CC1=CC=CC=C1,53.7,1206.5,-5.02,30.3,Non-Sensitizer
Benchmark_Compound_0029 (CAS 200029-9),O=CC=CC1=CC=CC=C1,60.4,813.4,-7.41,23.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0030 (CAS 200030-0),O=CC=CC1=CC=CC=C1,13.9,473.8,-6.2,28.2,Non-Sensitizer
Benchmark_Compound_0031 (CAS 200031-1),O=CC=CC1=CC=CC=C1,61.6,919.4,-4.37,33.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0032 (CAS 200032-2),O=CC=CC1=CC=CC=C1,24.5,1077.1,-7.94,57.2,Non-Sensitizer
