Compound Name,CAS,Experimental Hazard,Predicted GHS,ED01 (ug/cm2),AD Status
Cinnamaldehyde,104-55-2,Strong Sensitizer (1A),Sub-category 1A,12.4,In-Domain
p-Phenylenediamine,106-50-3,Extreme Sensitizer (1A),Sub-category 1A,2.1,In-Domain
Resorcinol,108-46-3,Moderate Sensitizer (1B),Sub-category 1B,240.5,In-Domain
Limonene,5989-27-5,Weak / Pro-hapten (1B),Sub-category 1B,485.2,In-Domain (Metabolic Alert)
Eugenol,97-53-0,Moderate Sensitizer (1B),Sub-category 1B,156.8,In-Domain
Glycerol,56-81-5,Non-Sensitizer (NC),Not Classified,1250.0,In-Domain (Negative Control)
Hexyl cinnamal,101-86-0,Sensitizer (1B),Sub-category 1B,82.3,In-Domain
Isoeugenol,97-54-1,Strong Sensitizer (1A),Sub-category 1A,18.6,In-Domain
Test_Substance_009,750-30-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,477.83,In-Domain
Test_Substance_010,422-33-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,95.08,In-Domain
Test_Substance_011,855-11-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.51,In-Domain
Test_Substance_012,610-68-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,325.28,Out-of-Domain (Expert Review)
Test_Substance_013,534-60-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,492.46,In-Domain
Test_Substance_014,365-23-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.72,In-Domain
Test_Substance_015,141-69-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,57.28,In-Domain
Test_Substance_016,130-45-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,424.95,In-Domain
Test_Substance_017,155-13-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,190.34,In-Domain
Test_Substance_018,251-71-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,42.19,In-Domain
Test_Substance_019,776-71-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,464.85,In-Domain
Test_Substance_020,841-35-8,Non-Sensitizer (NC),Not Classified,1621.01,In-Domain
Test_Substance_021,64-54-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.36,In-Domain
Test_Substance_022,697-97-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.46,In-Domain
Test_Substance_023,822-50-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,378.08,In-Domain
Test_Substance_024,552-32-7,Non-Sensitizer (NC),Not Classified,1174.23,In-Domain
Test_Substance_025,596-74-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,316.12,In-Domain
Test_Substance_026,267-23-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,35.81,In-Domain
Test_Substance_027,510-60-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,35.68,In-Domain
Test_Substance_028,534-32-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,303.52,In-Domain
Test_Substance_029,209-80-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,390.02,In-Domain
Test_Substance_030,695-37-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.52,In-Domain
Test_Substance_031,397-98-6,Non-Sensitizer (NC),Not Classified,1309.06,In-Domain
Test_Substance_032,682-86-8,Non-Sensitizer (NC),Not Classified,908.27,In-Domain
Test_Substance_033,367-46-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,124.18,In-Domain
Test_Substance_034,423-41-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.21,In-Domain
Test_Substance_035,613-21-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,213.7,In-Domain
Test_Substance_036,130-68-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,185.47,In-Domain
Test_Substance_037,785-10-2,Non-Sensitizer (NC),Not Classified,1116.61,Out-of-Domain (Expert Review)
Test_Substance_038,759-41-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,288.97,In-Domain
Test_Substance_039,816-47-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,392.75,In-Domain
Test_Substance_040,560-25-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,492.54,In-Domain
Test_Substance_041,820-29-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.66,In-Domain
Test_Substance_042,760-61-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.85,In-Domain
Test_Substance_043,690-20-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,224.09,In-Domain
Test_Substance_044,660-16-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.27,In-Domain
Test_Substance_045,303-21-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,167.45,In-Domain
Test_Substance_046,148-28-2,Non-Sensitizer (NC),Not Classified,1449.69,In-Domain
Test_Substance_047,677-84-0,Non-Sensitizer (NC),Not Classified,1106.82,In-Domain
Test_Substance_048,276-98-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,44.98,In-Domain
Test_Substance_049,755-63-2,Non-Sensitizer (NC),Not Classified,925.95,In-Domain
Test_Substance_050,850-23-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,151.0,In-Domain
Test_Substance_051,244-26-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.64,In-Domain
Test_Substance_052,71-39-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,279.02,In-Domain
Test_Substance_053,76-30-0,Non-Sensitizer (NC),Not Classified,1230.16,In-Domain
Test_Substance_054,878-57-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,271.68,In-Domain
Test_Substance_055,221-39-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,395.87,Out-of-Domain (Expert Review)
Test_Substance_056,398-55-4,Non-Sensitizer (NC),Not Classified,1621.6,In-Domain
Test_Substance_057,302-94-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,491.15,In-Domain
Test_Substance_058,784-63-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,24.52,In-Domain
Test_Substance_059,712-75-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,93.82,In-Domain
Test_Substance_060,295-57-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,431.92,In-Domain
Test_Substance_061,457-22-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,40.56,In-Domain
Test_Substance_062,561-25-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,409.25,In-Domain
Test_Substance_063,776-72-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,219.07,In-Domain
Test_Substance_064,199-67-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,119.85,In-Domain
Test_Substance_065,493-17-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,2.42,In-Domain
Test_Substance_066,823-56-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.28,In-Domain
Test_Substance_067,685-39-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,376.77,In-Domain
Test_Substance_068,395-71-6,Non-Sensitizer (NC),Not Classified,906.32,In-Domain
Test_Substance_069,683-10-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,359.86,In-Domain
Test_Substance_070,286-10-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,5.15,In-Domain
Test_Substance_071,125-35-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,246.11,In-Domain
Test_Substance_072,118-56-0,Non-Sensitizer (NC),Not Classified,521.69,In-Domain
Test_Substance_073,267-57-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,490.78,In-Domain
Test_Substance_074,72-19-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,128.02,In-Domain
Test_Substance_075,811-28-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,70.48,In-Domain
Test_Substance_076,385-11-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,357.82,In-Domain
Test_Substance_077,739-44-0,Non-Sensitizer (NC),Not Classified,1454.64,In-Domain
Test_Substance_078,884-74-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,295.57,In-Domain
Test_Substance_079,61-55-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,143.09,In-Domain
Test_Substance_080,139-17-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.1,In-Domain
Test_Substance_081,675-84-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.05,In-Domain
Test_Substance_082,443-82-7,Non-Sensitizer (NC),Not Classified,1705.24,In-Domain
Test_Substance_083,145-33-6,Non-Sensitizer (NC),Not Classified,1985.76,In-Domain
Test_Substance_084,574-32-8,Non-Sensitizer (NC),Not Classified,1787.63,In-Domain
Test_Substance_085,645-98-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.2,In-Domain
Test_Substance_086,494-28-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,5.45,Out-of-Domain (Expert Review)
Test_Substance_087,555-25-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,477.53,In-Domain
Test_Substance_088,518-62-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,30.32,In-Domain
Test_Substance_089,235-48-4,Non-Sensitizer (NC),Not Classified,670.29,In-Domain
Test_Substance_090,800-85-8,Non-Sensitizer (NC),Not Classified,1318.92,In-Domain
Test_Substance_091,568-55-7,Non-Sensitizer (NC),Not Classified,1427.37,In-Domain
Test_Substance_092,566-38-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.18,In-Domain
Test_Substance_093,391-26-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,29.27,In-Domain
Test_Substance_094,464-28-5,Non-Sensitizer (NC),Not Classified,1630.09,In-Domain
Test_Substance_095,175-76-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,162.0,In-Domain
Test_Substance_096,878-48-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,75.43,In-Domain
Test_Substance_097,557-34-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,156.95,In-Domain
Test_Substance_098,734-41-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,246.41,In-Domain
Test_Substance_099,725-28-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.27,In-Domain
Test_Substance_100,192-40-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,8.73,In-Domain
Test_Substance_101,61-83-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,312.98,In-Domain
Test_Substance_102,171-45-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,98.13,In-Domain
Test_Substance_103,90-73-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,312.69,In-Domain
Test_Substance_104,510-38-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,14.35,In-Domain
Test_Substance_105,864-34-1,Non-Sensitizer (NC),Not Classified,1924.7,In-Domain
Test_Substance_106,54-42-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.89,In-Domain
Test_Substance_107,331-72-8,Non-Sensitizer (NC),Not Classified,1980.92,In-Domain
Test_Substance_108,659-10-4,Non-Sensitizer (NC),Not Classified,1763.19,In-Domain
Test_Substance_109,694-12-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.3,In-Domain
Test_Substance_110,132-26-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,376.78,In-Domain
Test_Substance_111,766-13-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,108.21,In-Domain
Test_Substance_112,121-48-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,328.2,In-Domain
Test_Substance_113,103-14-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,424.13,In-Domain
Test_Substance_114,278-94-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,266.07,In-Domain
Test_Substance_115,787-47-1,Non-Sensitizer (NC),Not Classified,1854.74,In-Domain
Test_Substance_116,496-61-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,226.57,In-Domain
Test_Substance_117,808-60-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,402.67,In-Domain
Test_Substance_118,379-26-3,Non-Sensitizer (NC),Not Classified,720.7,In-Domain
Test_Substance_119,254-52-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,491.02,In-Domain
Test_Substance_120,423-25-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,257.11,In-Domain
Test_Substance_121,244-36-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.98,In-Domain
Test_Substance_122,515-51-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,150.81,In-Domain
Test_Substance_123,395-55-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.47,In-Domain
Test_Substance_124,843-56-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,16.84,In-Domain
Test_Substance_125,97-70-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,280.29,In-Domain
Test_Substance_126,302-61-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,40.41,In-Domain
Test_Substance_127,265-11-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,328.25,In-Domain
Test_Substance_128,412-27-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.51,In-Domain
Test_Substance_129,534-37-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,159.19,In-Domain
Test_Substance_130,861-34-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,145.23,In-Domain
Test_Substance_131,282-27-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,263.34,In-Domain
Test_Substance_132,418-92-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,314.12,In-Domain
Test_Substance_133,492-65-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,454.85,In-Domain
Test_Substance_134,759-79-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,156.83,In-Domain
Test_Substance_135,399-33-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,432.88,In-Domain
Test_Substance_136,278-45-7,Non-Sensitizer (NC),Not Classified,577.55,Out-of-Domain (Expert Review)
Test_Substance_137,53-88-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,20.19,In-Domain
Test_Substance_138,623-66-1,Non-Sensitizer (NC),Not Classified,1236.17,In-Domain
Test_Substance_139,349-14-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,307.27,In-Domain
Test_Substance_140,581-21-0,Non-Sensitizer (NC),Not Classified,1566.46,In-Domain
Test_Substance_141,188-86-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,179.95,In-Domain
Test_Substance_142,699-53-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.16,In-Domain
Test_Substance_143,662-82-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,414.46,In-Domain
Test_Substance_144,468-58-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.92,In-Domain
Test_Substance_145,425-84-8,Non-Sensitizer (NC),Not Classified,1947.54,In-Domain
Test_Substance_146,369-31-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.27,In-Domain
Test_Substance_147,340-94-4,Non-Sensitizer (NC),Not Classified,1625.78,In-Domain
Test_Substance_148,181-98-8,Non-Sensitizer (NC),Not Classified,1497.83,In-Domain
Test_Substance_149,849-60-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,253.43,In-Domain
Test_Substance_150,194-75-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,247.49,In-Domain
Test_Substance_151,695-76-6,Non-Sensitizer (NC),Not Classified,1436.39,In-Domain
Test_Substance_152,672-38-0,Non-Sensitizer (NC),Not Classified,1540.61,In-Domain
Test_Substance_153,599-66-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,452.26,In-Domain
Test_Substance_154,245-95-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,400.38,In-Domain
Test_Substance_155,855-22-3,Non-Sensitizer (NC),Not Classified,1815.16,In-Domain
Test_Substance_156,697-14-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,321.82,In-Domain
Test_Substance_157,804-45-3,Non-Sensitizer (NC),Not Classified,1580.08,In-Domain
Test_Substance_158,303-83-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,319.6,In-Domain
Test_Substance_159,351-21-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,230.44,In-Domain
Test_Substance_160,877-52-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,325.19,Out-of-Domain (Expert Review)
Test_Substance_161,176-40-8,Non-Sensitizer (NC),Not Classified,1685.15,Out-of-Domain (Expert Review)
Test_Substance_162,775-20-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,381.43,In-Domain
Test_Substance_163,469-63-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,12.18,In-Domain
Test_Substance_164,710-56-8,Non-Sensitizer (NC),Not Classified,1804.86,In-Domain
Test_Substance_165,715-50-2,Non-Sensitizer (NC),Not Classified,808.45,In-Domain
Test_Substance_166,435-16-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,291.87,In-Domain
Test_Substance_167,812-60-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,463.31,In-Domain
Test_Substance_168,210-58-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.17,In-Domain
Test_Substance_169,898-93-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,11.03,In-Domain
Test_Substance_170,750-58-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.02,In-Domain
Test_Substance_171,772-71-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,80.28,In-Domain
Test_Substance_172,67-10-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.87,In-Domain
Test_Substance_173,163-47-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,286.02,In-Domain
Test_Substance_174,692-41-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,9.51,In-Domain
Test_Substance_175,525-41-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,233.99,Out-of-Domain (Expert Review)
Test_Substance_176,884-97-6,Non-Sensitizer (NC),Not Classified,1112.04,In-Domain
Test_Substance_177,288-76-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,58.97,In-Domain
Test_Substance_178,145-97-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,157.26,In-Domain
Test_Substance_179,231-94-6,Non-Sensitizer (NC),Not Classified,1943.98,In-Domain
Test_Substance_180,200-94-2,Non-Sensitizer (NC),Not Classified,519.6,In-Domain
Test_Substance_181,131-11-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.88,In-Domain
Test_Substance_182,435-76-6,Non-Sensitizer (NC),Not Classified,1012.79,In-Domain
Test_Substance_183,305-18-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.62,In-Domain
Test_Substance_184,413-33-0,Non-Sensitizer (NC),Not Classified,829.34,In-Domain
Test_Substance_185,177-90-1,Non-Sensitizer (NC),Not Classified,1231.2,In-Domain
Test_Substance_186,286-34-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,13.8,In-Domain
Test_Substance_187,715-67-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.43,In-Domain
Test_Substance_188,91-50-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,1.41,In-Domain
Test_Substance_189,637-96-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,20.56,In-Domain
Test_Substance_190,695-49-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,7.28,In-Domain
Test_Substance_191,734-26-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,349.3,In-Domain
Test_Substance_192,871-74-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,283.56,Out-of-Domain (Expert Review)
Test_Substance_193,828-49-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.66,In-Domain
Test_Substance_194,147-64-7,Non-Sensitizer (NC),Not Classified,945.75,In-Domain
Test_Substance_195,597-29-2,Non-Sensitizer (NC),Not Classified,1598.88,In-Domain
Test_Substance_196,414-82-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,73.24,In-Domain
Test_Substance_197,266-70-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.22,In-Domain
Test_Substance_198,278-53-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,160.96,In-Domain
Test_Substance_199,93-68-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,29.72,In-Domain
Test_Substance_200,864-21-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,47.54,In-Domain
Test_Substance_201,534-89-5,Non-Sensitizer (NC),Not Classified,1458.46,In-Domain
Test_Substance_202,620-35-8,Non-Sensitizer (NC),Not Classified,1855.06,In-Domain
Test_Substance_203,760-26-6,Non-Sensitizer (NC),Not Classified,559.24,In-Domain
Test_Substance_204,384-16-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,263.0,In-Domain
Test_Substance_205,526-91-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.21,In-Domain
Test_Substance_206,322-23-7,Non-Sensitizer (NC),Not Classified,978.72,In-Domain
Test_Substance_207,854-52-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.47,In-Domain
Test_Substance_208,546-13-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,232.08,In-Domain
Test_Substance_209,475-75-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,331.69,In-Domain
Test_Substance_210,830-22-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,495.65,Out-of-Domain (Expert Review)
Test_Substance_211,78-71-0,Non-Sensitizer (NC),Not Classified,1698.19,In-Domain
Test_Substance_212,489-19-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,266.0,In-Domain
Test_Substance_213,738-12-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,285.18,In-Domain
Test_Substance_214,714-57-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,15.17,In-Domain
Test_Substance_215,393-77-4,Non-Sensitizer (NC),Not Classified,567.75,In-Domain
Test_Substance_216,489-72-7,Non-Sensitizer (NC),Not Classified,634.21,In-Domain
Test_Substance_217,613-13-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,326.07,In-Domain
Test_Substance_218,542-83-1,Non-Sensitizer (NC),Not Classified,1474.51,In-Domain
Test_Substance_219,823-14-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,66.63,In-Domain
Test_Substance_220,69-70-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,147.42,In-Domain
Test_Substance_221,209-22-7,Non-Sensitizer (NC),Not Classified,1544.06,In-Domain
Test_Substance_222,406-20-8,Non-Sensitizer (NC),Not Classified,552.39,In-Domain
Test_Substance_223,244-34-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,172.9,In-Domain
Test_Substance_224,310-20-1,Non-Sensitizer (NC),Not Classified,1714.29,In-Domain
Test_Substance_225,225-27-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,217.77,In-Domain
Test_Substance_226,642-49-2,Non-Sensitizer (NC),Not Classified,664.29,In-Domain
Test_Substance_227,798-42-5,Non-Sensitizer (NC),Not Classified,1021.78,In-Domain
Test_Substance_228,620-68-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,440.69,In-Domain
Test_Substance_229,405-72-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,157.49,In-Domain
Test_Substance_230,810-40-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,44.14,In-Domain
Test_Substance_231,600-40-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.09,In-Domain
Test_Substance_232,344-75-0,Non-Sensitizer (NC),Not Classified,1748.22,In-Domain
Test_Substance_233,497-97-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,102.22,In-Domain
Test_Substance_234,282-72-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,14.53,Out-of-Domain (Expert Review)
Test_Substance_235,291-77-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.89,In-Domain
Test_Substance_236,71-91-1,Non-Sensitizer (NC),Not Classified,1562.89,In-Domain
